,dispute_id,c_code_1,state_name_abb_a,c_code_2,state_name_abb_b,year,outcome,settlement_type,total_fatality_bin,num_with,num_against,revision_sought,revision_type,state_fatality_bin,hostility_level,origin_participant,war,year_num,cumulative_duration,ongoing_2010,date_start,date_end,initiator
3654,2021,710,CHN,220,FRN,1949,Stalemate,None Value,None Value,1,1,0,N/A,None Value,1,1,0,1,1,0,1949-12-14,1949-12-14,0.0
3655,26,220,FRN,365,RUS,1949,Stalemate,None Value,None Value,1,3,0,N/A,None Value,4,1,0,2,493,0,1948-03-21,1949-07-25,0.0
3656,3386,666,ISR,651,EGY,1949,N/A,N/A,None Value,1,1,0,N/A,None Value,4,1,0,1,9,0,1949-12-23,1950-01-07,0.0
3657,634,2,USA,710,CHN,1949,N/A,N/A,None Value,1,1,0,N/A,None Value,1,1,0,1,92,0,1949-10-01,1950-01-24,0.0
3658,1286,345,YUG,310,HUN,1949,N/A,N/A,None Value,4,2,0,N/A,None Value,4,1,0,1,131,0,1949-08-23,1951-11-24,0.0
3659,26,365,RUS,200,UKG,1949,Stalemate,None Value,None Value,1,3,1,Territory,None Value,4,1,0,2,493,0,1948-03-21,1949-07-25,1.0
3660,1286,310,HUN,345,YUG,1949,N/A,N/A,None Value,4,2,1,Policy,None Value,4,0,0,1,131,0,1949-08-23,1951-11-24,1.0
3661,2328,339,ALB,345,YUG,1949,Stalemate,Negotiated,26-100,1,1,0,N/A,1-25,4,1,0,1,269,0,1949-03-01,1949-11-24,0.0
3662,2328,345,YUG,339,ALB,1949,Stalemate,Negotiated,26-100,1,1,1,Territory,1-25,4,1,0,1,269,0,1949-03-01,1949-11-24,1.0
3663,633,713,TAW,710,CHN,1949,N/A,N/A,None Value,2,1,1,Territory,None Value,4,1,0,1,92,0,1949-10-01,1950-08-07,1.0
3664,1285,350,GRC,339,ALB,1949,Stalemate,None Value,26-100,1,1,0,N/A,26-100,4,1,0,1,6,0,1949-08-08,1949-08-13,1.0
3665,1285,339,ALB,350,GRC,1949,Stalemate,None Value,26-100,1,1,0,N/A,26-100,4,1,0,1,6,0,1949-08-08,1949-08-13,0.0
3666,2010,710,CHN,220,FRN,1950,Stalemate,None Value,1-25,1,1,0,N/A,1-25,4,1,0,1,1,0,1950-11-23,1950-11-23,0.0
3667,3386,666,ISR,651,EGY,1950,Stalemate,Negotiated,,1,1,0,N/A,,4,1,0,2,17,0,1949-12-23,1950-01-07,0.0
3668,1006,666,ISR,663,JOR,1950,N/A,N/A,None Value,1,2,0,N/A,None Value,4,1,0,1,256,0,1950-04-20,1956-10-26,1.0
3669,3400,652,SYR,666,ISR,1950,Yield by State B,None Value,None Value,1,1,1,Territory,None Value,4,1,0,1,1,0,1950-07-12,1950-07-12,1.0
3670,1374,713,TAW,775,MYA,1950,N/A,N/A,None Value,1,1,0,N/A,None Value,4,1,0,1,365,0,1950-01-01,1953-05-23,1.0
3671,51,731,PRK,20,CAN,1950,N/A,N/A,None Value,2,17,1,Territory,None Value,3,1,0,1,186,0,1950-06-29,1953-07-27,1.0
3672,51,210,NTH,731,PRK,1950,N/A,N/A,None Value,2,17,0,N/A,None Value,5,0,1,1,27,0,1950-12-05,1953-07-27,1.0
3673,3400,666,ISR,652,SYR,1950,Yield by for State A,None Value,None Value,1,1,0,N/A,None Value,1,1,0,1,1,0,1950-07-12,1950-07-12,0.0
3674,51,710,CHN,640,TUR,1950,N/A,N/A,None Value,2,17,0,N/A,None Value,5,0,1,1,75,0,1950-10-18,1953-07-27,1.0
